Name,Address,City,Postcode,Latitude,Longitude
Kaufland,", ",,,44.4172888,26.0705725
Kaufland,"Drumul Ciorogarla, 223-233",Bucuresti,062397,44.4411991,25.9878161
Kaufland,"Strada Barbu Vacarescu, 120-144",Bucuresti,020284,44.4632951,26.1101791
Kaufland,"Strada Mihail Sebastian, 88C",Bucuresti,050773,44.4162284,26.0712825
Kaufland,"Soseaua Colentina, 6",Bucuresti,023498,44.4542493,26.1303568
Kaufland,"Strada Racari, 5",Bucuresti,031827,44.4145642,26.1361979
Kaufland,"Soseaua Oltenitei, 388",Bucuresti,041337,44.3847088,26.1400367
Kaufland,"Bulevardul 1 Mai, 55",Bucuresti,061629,44.4177269,26.0386605
Kaufland,"Bulevardul Bucurestii Noi, 50B",Bucuresti,,44.4809569,26.0435439
Kaufland,"Soseaua Pantelimon, 244-246",Bucuresti,021646,44.4418279,26.1538021
Kaufland,"Soseaua Orhideelor, 46",Bucuresti,010954,44.4486513,26.0671467
Kaufland,"Strada Valea Oltului, 195-197",Bucuresti,061976,44.4225006,26.011032
Kaufland,"Strada Valea Cascadelor, 3",Bucuresti,060511,44.4321441,26.0062821
Kaufland,"Calea Ferentari, 62",Bucuresti,051864,44.4063989,26.0770507
Kaufland,"Soseaua Alexandria, 152",Bucuresti,051527,44.4014592,26.0451569
Kaufland,"Bulevardul Theodor Pallady, 51",Bucuresti,032258,44.4093751,26.1967545
Kaufland,"Soseaua Bucuresti-Targoviste, 50",Bucuresti,013502,44.5167716,26.0196075
Kaufland,"Soseaua Gheorghe Ionescu Sisesti, 4-6",Bucuresti,013821,44.5023928,26.064967
Kaufland,"Bulevardul Energeticienilor, 13-15",Bucuresti,032091,44.4085841,26.1503238
Kaufland,"Strada Turnu Magurele, 70-90",Bucuresti,041711,44.3747195,26.1142926
Kaufland,"Drumul Binelui, 51-61",Bucuresti,042147,44.3688872,26.1219997
Kaufland,"Bulevardul Basarabia, 250",Bucuresti,030352,44.4351818,26.1760802
Kaufland,"Soseaua Fabrica de Glucoza, 6-8",Bucuresti,020332,44.4778313,26.1223299
Kaufland,"Strada Emil Racovita, 3-5",Bucuresti,041762,44.3876574,26.1210152
Kaufland,"Strada Popa Nan, 82",Bucuresti,024078,44.4337349,26.1238132
Kaufland,"Drumul Ciorogarla, 223-233",Bucuresti,062397,44.4408074,25.9881766
